station_id,station_name,go_live_date,totalDocks,latitude,longitude,zipcode,approximate_location
3000,Virtual Station,2015-04-23,17.0,,,,
3004,Municipal Services Building Plaza,2015-04-23,30.0,39.95378,-75.16374,19102,False
3005,"Welcome Park, NPS",2015-04-23,13.0,39.94733,-75.14403,19106,False
3006,40th & Spruce,2015-04-23,17.0,39.9522,-75.20311,19104,False
3007,"11th & Pine, Kahn Park",2015-04-23,20.0,39.94517,-75.15993,19107,False
3008,Temple University Station,2015-04-23,17.0,39.98081,-75.15067,19122,False
3009,33rd & Market,2015-04-23,14.0,39.95576,-75.18982,19104,False
3010,15th & Spruce,2015-04-23,22.0,39.94711,-75.16618,19102,False
3011,38th & Powelton,2015-04-23,17.0,39.95956999713536,-75.1971000410603,19104,True
3012,21st & Catharine,2015-04-23,27.0,39.94218,-75.17747,19149,False
3013,6th & Fairmount,2015-04-23,17.0,39.96350002007722,-75.14784001519337,19123,True
3014,"21st & Winter, Franklin Institute",2015-04-23,25.0,39.95886,-75.17369,19103,False
3015,"4th & Walnut, NPS",2015-04-23,11.0,39.94735,-75.14886,19106,False
3016,"11th & Poplar, John F. Street Community Center",2015-04-23,15.0,39.96892,-75.1547,19123,False
3017,6th & Berks,2015-04-23,15.0,39.98003,-75.14371,19122,False
3018,12th & Filbert,2015-04-29,18.0,39.95273,-75.15979,19107,False
3019,6th & Race,2015-04-29,15.0,39.95403,-75.14983,19106,False
3020,University City Station,2015-04-23,36.0,39.94855,-75.19007,19147,False
3021,18th & JFK,2015-04-23,34.0,39.9539,-75.16902,19103,False
3022,Amtrak 30th Street Station,2015-04-23,21.0,39.95472,-75.18323,19104,False
3023,Rittenhouse Square,2015-04-23,17.0,39.947110000000066,-75.16942999999998,19103,True
3024,"43rd & Chester, Clark Park",2015-04-23,19.0,39.94822,-75.20908,19104,False
3025,11th & Washington,2015-04-23,15.0,39.93724,-75.1612,19147,False
3026,2nd & South,2015-04-23,17.0,39.94182,-75.1455,19147,False
3027,"40th Street Station, MFL",2015-04-23,17.0,39.95700000000005,-75.20219999999995,19104,True
3028,4th & Bainbridge,2015-04-23,15.0,39.94061,-75.14958,19147,False
3029,36th & Sansom,2015-04-23,17.0,39.9538,-75.19479,19104,False
3030,Darien & Catharine,2015-04-23,29.0,39.93935,-75.15716,19147,False
3031,13th & Montgomery,2015-04-23,21.0,39.98005,-75.15522,19122,False
3032,23rd & South,2015-04-23,20.0,39.94527,-75.17971,19146,False
3033,10th & Chestnut,2015-04-23,20.0,39.95005,-75.15672,19107,False
3034,11th & Reed,2015-04-23,16.0,39.93315,-75.16248,19147,False
3035,Dornsife Center,2015-07-31,20.0,39.96271,-75.19419,19104,False
3036,2nd & Germantown,2015-04-23,17.0,39.967970005221645,-75.13986999873997,19123,True
3037,Pennsylvania Convention Center,2015-04-29,21.0,39.95424,-75.16138,19107,False
3038,The Children's Hospital of Philadelphia (CHOP),2015-04-23,28.0,39.94781,-75.19409,19104,False
3039,Broad & Girard,2015-04-23,17.0,39.97157,-75.15993,19130,False
3040,17th & Spring Garden,2015-04-23,21.0,39.96289,-75.16606,19130,False
3041,"Girard Station, MFL",2015-04-23,26.0,39.96849,-75.13546,19123,False
3043,"18th & Fernon, Aquinas Center",2015-04-23,18.0,39.93082,-75.17474,19145,False
3045,13th & Locust,2015-04-28,15.0,39.94792,-75.16237,19107,False
3046,2nd & Market,2015-04-23,26.0,39.95012,-75.14472,19106,False
3047,"Independence Mall, NPS",2015-04-23,20.0,39.95073,-75.14947,19106,False
3048,Broad & Fitzwater,2015-04-23,17.0,39.941810001592074,-75.1658999990513,19146,True
3049,Foglietta Plaza,2015-04-23,29.0,39.94509,-75.1425,19106,False
3050,9th & Arch,2015-04-23,15.0,39.95339,-75.15426,19107,False
3051,23rd & Fairmount,2015-04-23,37.0,39.96744,-75.17507,19130,False
3052,9th & Locust,2015-04-23,25.0,39.94732,-75.15695,19107,False
3053,Point Breeze & Tasker,2015-04-23,19.0,39.93231,-75.18154,19146,False
3054,Rodin Museum,2015-04-23,35.0,39.9625,-75.1742,19146,False
3055,8th & Market,2015-04-28,15.0,39.95112,-75.15457,19107,False
3056,Broad & Oxford,2015-04-23,22.0,39.97669,-75.15813,19122,False
3057,Philadelphia Museum of Art,2015-04-23,26.0,39.96439,-75.17987,19130,False
3058,20th & Fairmount,2015-04-23,19.0,39.96716,-75.17001,19130,False
3059,"Spring Garden Station, BSL",2015-04-23,21.0,39.96244,-75.16121,19123,False
3060,Free Library of Philadelphia - Central Library,2015-04-23,19.0,39.95923,-75.17036,19103,False
3061,23rd & Market,2015-04-23,25.0,39.95425,-75.17761,19103,False
3062,24th & Sansom,2015-04-23,15.0,39.95197,-75.17943,19103,False
3063,17th & Pine,2015-04-23,25.0,39.94633,-75.1698,19103,False
3064,"18th & Washington, Chew Playground",2015-04-23,22.0,39.9384,-75.17327,19146,False
3065,Girard & Hutchinson,2015-04-23,15.0,39.9707,-75.15171,19123,False
3066,19th & Lombard,2015-04-23,29.0,39.94561,-75.17348,19146,False
3067,"39th & Mt. Vernon, Mantua Haverford Community Center",2015-04-23,17.0,39.96411,-75.19973,19104,False
3068,Broad & Federal,2015-04-23,18.0,39.93549,-75.16711,19146,False
3069,4th & Christian,2015-04-23,23.0,39.93704,-75.15038,19147,False
3070,"Spring Garden Station, MFL",2015-04-29,19.0,39.96062,-75.13983,19123,False
3071,"32nd & Baring, Drexel Park",2015-04-23,13.0,39.96173,-75.18788,19104,False
3072,Front & Carpenter,2015-04-23,25.0,39.93445,-75.14541,19147,False
3073,9th & Spring Garden,2015-04-28,15.0,39.96143,-75.15242,19123,False
3074,44th & Walnut,2015-04-28,15.0,39.95511,-75.20987,19104,False
3075,Fairmount & Ridge,2015-04-28,12.0,39.96718,-75.16125,19130,False
3077,17th & Girard,2015-04-29,19.0,39.97207,-75.16351,19130,False
3078,19th & Market,2015-04-23,18.0,39.95355,-75.17192,19103,False
3086,Broad & Christian,2015-06-10,21.0,39.94019,-75.16691,19146,False
3088,3rd & Girard,2015-10-20,35.0,39.96984,-75.1418,19125,False
3093,33rd & Diamond,2016-04-28,16.0,39.98837,-75.18701,19121,False
3095,29th & Diamond,2016-04-28,17.0,39.98784999362559,-75.1806199621319,19121,True
3096,29th & Dauphin,2016-04-29,14.0,39.99119,-75.17975,19132,False
3097,"Berks Station, MFL",2016-04-29,23.0,39.97888,-75.13339,19122,False
3098,10th & Federal,2016-05-02,19.0,39.93431,-75.16042,19147,False
3099,4th & Washington,2016-05-02,19.0,39.93401,-75.15094,19147,False
3100,Moyamensing & Tasker,2016-05-02,38.0,39.92777,-75.15103,19148,False
3101,11th & South,2016-05-02,18.0,39.94295,-75.15955,19147,False
3102,Pennsylvania & Fairmount Perelman Building,2016-05-03,26.0,39.96759,-75.17952,19130,False
3103,"27th & Master, Athletic Recreation Center",2016-05-03,17.0,39.9771900148956,-75.17978001161468,19121,True
3104,34th & Mantua,2016-05-03,13.0,39.96664,-75.19209,19104,False
3105,Penn Treaty Park,2016-05-03,17.0,39.966540000000066,-75.13011999999998,19125,True
3106,33rd & Dauphin,2016-05-05,17.0,39.99179,-75.18637,19132,False
3107,33rd & Reservoir,2016-05-04,18.0,39.98203,-75.18866,19121,False
3108,15th & Market,2016-05-04,17.0,39.95259000917551,-75.16521000078191,19107,True
3109,Parkside & Girard,2016-05-06,17.0,39.974179989646274,-75.20381998047411,19104,True
3110,Del. River Trail & Penn St.,2016-05-04,19.0,39.96175,-75.13641,19123,False
3111,"Parkside & Belmont, Case Building",2016-05-05,14.0,39.97779,-75.21323,19104,False
3112,48th & Spruce,2016-05-05,18.0,39.95373,-75.21825,19139,False
3113,Philadelphia Zoo,2016-05-06,12.0,39.97472,-75.19781,19104,False
3114,22nd & Federal,2016-05-05,17.0,39.93775,-75.18012,19146,False
3115,"19th & Girard, PTTI",2016-05-04,23.0,39.97263,-75.16757,19130,False
3116,Barnes Foundation,2017-12-14,21.0,39.96006,-75.17198,19122,False
3117,ParkWest Town Center,2016-04-15,19.0,39.97841,-75.22399,19131,False
3118,"46th Street Station, MFL",2016-04-25,23.0,39.95866,-75.21323,19139,False
3119,42nd & Lancaster,2016-04-25,17.0,39.96674,-75.20799,19104,False
3120,31st & Girard,2016-04-26,19.0,39.97522,-75.18669,19121,False
3121,27th & Girard,2016-04-26,17.0,39.974179989646274,-75.18043002820593,19130,True
3122,"24th & Cecil B. Moore, Cecil B. Moore Library",2016-04-27,17.0,39.980779984025645,-75.17407000771448,19121,True
3123,22nd & Cecil B. Moore,2016-04-27,19.0,39.98004,-75.17088,19121,False
3124,Race Street Pier,2016-03-31,17.0,39.95367,-75.13956,19106,False
3125,15th & South,2016-04-08,16.0,39.94391,-75.16735,19146,False
3129,"The Children's Hospital of Philadelphia, Osler Circle",2016-05-24,17.0,39.94747000000007,-75.19538199999994,19104,True
3150,"15th & Castle, DiSilvestro Playground",2017-06-07,17.0,39.92884,-75.17021,19145,False
3152,"40th & Baltimore, Trolley Portal",2017-06-05,17.0,39.94993,-75.20286,19104,False
3153,"Thompson & Palmer, Adaire School",2017-06-07,11.0,39.97216,-75.12994,19125,False
3154,12th & Callowhill,2017-06-07,16.0,39.95924,-75.15821,19123,False
3155,7th & Fitzwater,2017-09-26,18.0,39.94018,-75.15442,19147,False
3156,20th & Market,2017-06-08,22.0,39.95381,-75.17407,19103,False
3157,"8th & Mifflin, Bok Building",2017-06-08,18.0,39.92545,-75.15954,19148,False
3158,Broad & Passyunk,2017-06-08,16.0,39.92552,-75.16904,19148,False
3159,38th & Spruce,2017-06-06,23.0,39.95121,-75.19962,19104,False
3160,38th & Market,2017-06-06,40.0,39.95662,-75.19862,19104,False
3161,30th Street Station East,2017-06-06,23.0,39.95486,-75.18091,19104,False
3162,27th & South,2017-06-09,34.0,39.94595,-75.18475,19146,False
3163,25th & Locust,2017-06-09,22.0,39.94974,-75.18097,19122,False
3164,12th & Passyunk,2017-09-26,18.0,39.92814,-75.16515,19122,False
3165,24th & Race SRT,2017-09-27,22.0,39.95819,-75.1782,19103,False
3166,Frankford & Belgrade,2018-05-09,22.0,39.97195,-75.13445,19122,False
3167,12th & Chestnut,2018-01-24,17.0,39.95037999467476,-75.16019996961587,19107,True
3168,20th & Sansom,2017-12-13,23.0,39.95134,-75.17394,19122,False
3169,2nd & Race,2017-09-27,17.0,39.95382,-75.14263,19106,False
3170,Grays Ferry & Pemberton,2017-06-05,16.0,39.94426,-75.18134,19146,False
3181,Crescent Park,2018-06-26,20.0,39.89629,-75.17514,19112,False
3182,17th & Sansom,2018-10-17,21.0,39.95081,-75.16953,19112,False
3183,15th & Kitty Hawk,2018-06-19,20.0,39.88994,-75.17679,19112,False
3184,Health Sciences Drive,2018-11-01,32.0,39.94573,-75.19551,19104,False
3185,11th & Market,2018-09-28,21.0,39.95169,-75.15888,19107,False
3186,12th & Normandy,2018-06-19,17.0,39.8930199909457,-75.17203002011964,19112,True
3187,20th & Race,2018-09-25,19.0,39.95725,-75.17232,19103,False
3188,"Broad & Pattison, BSL",2018-06-19,30.0,39.90471,-75.1734,19148,False
3190,17th & Locust,2018-09-14,30.0,39.94892,-75.16991,19103,False
3192,2nd & Fairmount,2018-08-14,17.0,39.96188000774097,-75.14117003192248,19123,True
